Name,MSE
0.1_0,0.0037818266784185126
0.1_1e-05,0.014505510894956084
0.1_0.0001,0.008901741528044982
0.1_0.001,0.032941085195367335
0.1_0.01,0.109375
0.1_0.1,0.10937500000000001
0.1_0.5,0.10937500000000001
0.1_0.75,0.10937500000000001
0.25_0,0.0010787495451750559
0.25_1e-05,0.0017271288175884846
0.25_0.0001,0.004735569848702612
0.25_0.001,0.03479719053000926
0.25_0.01,0.10937500000000003
0.25_0.1,0.109375
0.25_0.5,0.109375
0.25_0.75,0.109375
0.5_0,0.0005483824154596118
0.5_1e-05,0.0007318382169182109
0.5_0.0001,0.0038067871909804683
0.5_0.001,0.042037687654632123
0.5_0.01,0.10937500000000001
0.5_0.1,0.10937500000000001
0.5_0.5,0.10937500000000001
0.5_0.75,0.10937500000000001
0.75_0,0.0002938672743123242
0.75_1e-05,0.0005985081964910493
0.75_0.0001,0.0038126347529980954
0.75_0.001,0.04202953753802027
0.75_0.01,0.10937499999999999
0.75_0.1,0.109375
0.75_0.5,0.109375
0.75_0.75,0.109375
0.8_0,0.0003149013364791479
0.8_1e-05,0.0006636815565638938
0.8_0.0001,0.0037783018592268264
0.8_0.001,0.042029542977148705
0.8_0.01,0.109375
0.8_0.1,0.10937500000000001
0.8_0.5,0.10937500000000001
0.8_0.75,0.10937500000000001
0.85_0,0.0002720197196948853
0.85_1e-05,0.0005752995820119703
0.85_0.0001,0.00378039056013394
0.85_0.001,0.03479403453524395
0.85_0.01,0.10937500000000003
0.85_0.1,0.109375
0.85_0.5,0.109375
0.85_0.75,0.109375
0.9_0,0.00024424361785389007
0.9_1e-05,0.0006368690910093335
0.9_0.0001,0.004191452845499722
0.9_0.001,0.034792348529623054
0.9_0.01,0.109375
0.9_0.1,0.10937500000000001
0.9_0.5,0.10937500000000001
0.9_0.75,0.10937500000000001
0.95_0,0.00022567315512404964
0.95_1e-05,0.0005941841547426682
0.95_0.0001,0.0037760462777937376
0.95_0.001,0.042029529630706025
0.95_0.01,0.109375
0.95_0.1,0.109375
0.95_0.5,0.109375
0.95_0.75,0.109375
1_0,0.00024979988444726964
1_1e-05,0.0005487891579320949
1_0.0001,0.004197243919874244
1_0.001,0.04202952989112715
1_0.01,0.10937499999999999
1_0.1,0.10937499999999999
1_0.5,0.10937499999999999
1_0.75,0.10937499999999999
